run,tau_hat,lambda_hat,tau_ci_lower,tau_ci_upper,lambda_ci_lower,lambda_ci_upper,tau_in_CI,lambda_in_CI
1,0.8684275090480128,7.035619045792997,0.8684275090480128,0.8684275090480128,7.035619045792997,7.035619045792997,False,False
2,0.08571542551471895,5.88537669492298,-0.07167860499062842,0.2431094560200663,4.689498638846053,7.081254750999908,False,False
3,0.2712863524411259,9.973695444401262,0.026286352441125926,0.5162863524411259,8.245840862256012,11.701550026546512,True,False
4,0.006464823026683926,6.560600221022681,0.006464822581339362,0.006464823472028489,-2.1203541581998246,15.241554600245188,False,True
5,0.13065816917433268,8.265791750268697,-0.1218447134436845,0.3831610517923498,6.178655506205626,10.352927994331768,True,False
6,0.15881799548708883,7.677884449475327,-0.08828685745072057,0.40592284842489823,5.780641941714233,9.57512695723642,True,False
7,0.06724124547410604,8.128747402199386,-0.03330935957148329,0.16779185051969536,6.494046463091564,9.763448341307207,False,False
8,0.07946353229153233,4.789399116348465,-0.04439379909234549,0.20332086367541014,3.111569941841578,6.467228290855351,False,False
9,0.02113088215717343,9.724365391924177,-0.052643062925966,0.09490482724031286,6.436803599367406,13.01192718448095,False,False
10,-0.0019842996471407985,12.229979769484512,-0.07072528039195816,0.06675668109767657,10.170691773719941,14.289267765249082,False,False
11,0.2655993180715036,11.847272971859342,0.01861165839071513,0.5125869777522921,10.384207859399842,13.310338084318841,True,False
12,1.161385287206135,7.549904117418665,1.018975109746099,1.303795464666171,6.480909515501278,8.618898719336052,False,False
13,0.06464849600211539,10.013348318309124,0.06464849543838759,0.06464849656584319,-42.097841391975194,62.124538028593435,False,True
14,0.10996545068380574,10.334068173178636,-0.012678186467056582,0.23260908783466805,7.799252758531446,12.868883587825827,False,False
15,0.31345888882030337,11.068547257910822,0.13878610866665647,0.4881316689739503,8.334343636560952,13.802750879260692,True,False
16,5.239006121671773,5.079042547905853,4.272869575121238,6.205142668222308,3.7544373540227696,6.403647741788937,False,False
17,0.19482636991757768,8.736952546567545,-0.049906603545359446,0.43955934338051483,7.864027733542384,9.609877359592707,True,False
18,0.8669009384688899,7.2345152331097164,0.6932445348702405,1.0405573420675394,5.9781953359482385,8.490835130271194,False,False
19,0.19048501704995346,14.068599531879507,-0.05534440223047424,0.43631443633038114,12.071847682627933,16.06535138113108,True,False
20,0.19571100358394455,6.494839883853139,0.07302909812825177,0.31839290903963735,5.367995461227635,7.621684306478643,True,False
21,0.10522949172822776,4.7770723804707735,-0.00433783916926192,0.21479682262571745,4.036857346252038,5.517287414689509,False,False
22,0.437656424629816,5.997964171714594,0.2587296730254081,0.616583176234224,4.9247679262300785,7.07116041719911,False,False
23,0.10688644451845808,14.426593831138295,-0.1357926209169156,0.34956550995383173,12.67607767696011,16.177109985316477,True,False
24,1853300357462.561,6.008606197838294,,,,,False,False
25,0.11743188585646686,8.624071524571189,-0.058490739839379274,0.29335451155231296,7.106902217779847,10.14124083136253,True,False
26,0.35453299629774965,6.627076927792962,0.1109158397199817,0.5981501528755175,5.485474499046684,7.7686793565392405,True,False
27,1.0939512394186195,4.211528859915988,0.8259331857610577,1.3619692930761813,3.6158046662777563,4.807253053554219,False,False
28,0.20279783972384802,7.0599040498267485,0.20279783972384802,0.20279783972384802,5.330227557619195,8.789580542034301,False,False
29,0.11106753362116864,6.305417744937395,0.11106753271323264,0.11106753452910464,-30.141250317182248,42.752085807057036,False,True
30,0.14591360506602055,13.307455404799196,-0.025167517647940174,0.3169947277799813,10.08777985975816,16.527130949840235,True,False
31,0.13681224453732432,4.676721311524613,-0.1931151800981365,0.46673966917278514,3.9052320025000675,5.448210620549158,True,False
32,1.390606230027055,4.910615335427285,1.3906062265762575,1.3906062334778524,3.4085502488851604,6.41268042196941,False,False
33,0.14151074695794424,5.900413975292825,-0.031730414432759896,0.3147519083486484,4.454812551346082,7.346015399239567,True,False
34,0.15176999355893023,5.502805265052366,-0.09363555708714666,0.3971755442050071,4.648725325660578,6.356885204444154,True,False
35,0.047308961047314815,9.176625218153067,0.04730896000885699,0.04730896208577264,-7.930160909190601,26.283411345496734,False,True
36,0.32874506434591766,7.168460522121966,0.3287450627291997,0.32874506596263564,-10.636166399844669,24.9730874440886,False,True
37,0.05272707008047117,7.842724698615944,-0.055001605505016135,0.1604557456659585,6.224890519716487,9.460558877515401,False,False
38,0.06157424500021916,14.360517328898313,0.06157424456681596,0.06157424543362235,-3.3195469774934576,32.04058163529008,False,True
39,1.5926061275827856,4.983412092811799,1.1973388014795607,1.9878734536860105,4.364998054751467,5.60182613087213,False,False
40,0.00790214226291989,9.843892252608104,-0.04919205663746603,0.06499634116330581,8.44821798316876,11.239566522047447,False,False
41,0.3575892824905602,5.991796029639971,-0.6210707356839683,1.3362493006650888,5.991796029639971,5.991796029639971,True,False
42,0.19477750378411968,9.466868745776875,-2.3983713472949755,2.7879263548632145,9.466868745776875,9.466868745776875,True,False
43,0.3878554961321965,8.103056173276379,0.14470013744019783,0.6310108548241952,6.132754642961947,10.07335770359081,True,False
44,0.19240975416430578,6.511205245236438,-4.852198773342372,5.237018281670983,6.511205245236438,6.511205245236438,True,False
